"","year","country","sum_cases"
"191",2010,"Brazil",8970
"192",2010,"Bulgaria",23801
"193",2010,"Canada",67855
"194",2010,"Chile",848
"195",2010,"France",1564
"196",2010,"Germany",34000
"197",2010,"Hungary",2754
"198",2010,"Japan",2106
"199",2010,"Mexico",59504
"200",2010,"Netherlands",1145
"201",2010,"New.Zealand",1742
"202",2010,"Norway",3338
"203",2010,"Paraguay",10017
"204",2010,"Peru",8541
"205",2010,"Poland",1264
"206",2010,"Romania",32246
"207",2010,"Russia",23322
"208",2010,"South.Africa",129539
"209",2010,"Spain",727
"210",2010,"Sweden",106
"211",2010,"Switzerland",1044
"212",2010,"Ukraine",20098
"213",2010,"United.States",73160
"214",2010,"Uruguay",5087
"215",2011,"Argentina",5541
"216",2011,"Australia",13138
"217",2011,"Austria",34888
"218",2011,"Belgium",4477
"219",2011,"Bolivia",10859
"220",2011,"Brazil",8345
"221",2011,"Bulgaria",25930
"222",2011,"Canada",73778
"223",2011,"Chile",315
"224",2011,"France",3089
"225",2011,"Germany",34730
"226",2011,"Hungary",4159
"227",2011,"Japan",7054
"228",2011,"Mexico",49524
"229",2011,"Netherlands",1627
"230",2011,"New.Zealand",1674
"231",2011,"Norway",4852
"232",2011,"Paraguay",9347
"233",2011,"Peru",7053
"234",2011,"Poland",2377
"235",2011,"Romania",34686
"236",2011,"Russia",26352
"237",2011,"South.Africa",129150
"238",2011,"Spain",1224
"239",2011,"Sweden",201
"240",2011,"Switzerland",2314
"241",2011,"Ukraine",19755
"242",2011,"United.States",86415
"243",2011,"Uruguay",4686
"244",2012,"Argentina",6155
"245",2012,"Australia",27452
"246",2012,"Austria",40088
"247",2012,"Belgium",4758
"248",2012,"Bolivia",10035
"249",2012,"Brazil",7685
"250",2012,"Bulgaria",16289
"251",2012,"Canada",101581
"252",2012,"Chile",696
"253",2012,"France",3840
"254",2012,"Germany",35974
"255",2012,"Hungary",3532
"256",2012,"Japan",15759
"257",2012,"Mexico",59964
"258",2012,"Netherlands",2023
"259",2012,"New.Zealand",2373
"260",2012,"Norway",4606
"261",2012,"Paraguay",9010
"262",2012,"Peru",6769
"263",2012,"Poland",1670
"264",2012,"Romania",32288
"265",2012,"Russia",27213
"266",2012,"South.Africa",136519
"267",2012,"Spain",1938
"268",2012,"Sweden",368
"269",2012,"Switzerland",2944
"270",2012,"Ukraine",19375
"271",2012,"United.States",122918
"272",2012,"Uruguay",5070
"273",2013,"Argentina",6529
"274",2013,"Australia",19071
"275",2013,"Austria",50229
"276",2013,"Belgium",9622
"277",2013,"Bolivia",9129
"278",2013,"Brazil",8676
"279",2013,"Bulgaria",17955
"280",2013,"Canada",104231
"281",2013,"Chile",1180
"282",2013,"France",7606
"283",2013,"Germany",40928
"284",2013,"Hungary",4224
"285",2013,"Japan",24627
"286",2013,"Mexico",63665
"287",2013,"Netherlands",2721
"288",2013,"New.Zealand",2260
"289",2013,"Norway",4654
"290",2013,"Paraguay",11755
"291",2013,"Peru",6777
"292",2013,"Poland",2702
"293",2013,"Romania",33899
"294",2013,"Russia",33134
"295",2013,"South.Africa",140671
"296",2013,"Spain",2769
"297",2013,"Sweden",556
"298",2013,"Switzerland",6379
"299",2013,"Ukraine",21955
"300",2013,"United.States",130196
"301",2013,"Uruguay",5005
"302",2014,"Argentina",7073
"303",2014,"Australia",30705
"304",2014,"Austria",51635
"305",2014,"Belgium",5475
"306",2014,"Bolivia",9065
"307",2014,"Brazil",8855
"308",2014,"Bulgaria",25346
"309",2014,"Canada",121388
"310",2014,"Chile",1075
"311",2014,"France",2923
"312",2014,"Germany",38029
